y_real,y_pred,data_drift,concept_drift
,,898.0,3883.0
,,1764.0,4107.0
,,2340.0,5680.0
,,2855.0,7413.0
,,3145.0,7799.0
,,3883.0,8440.0
,,4398.0,8763.0
,,6193.0,11555.0
,,6803.0,15863.0
,,8281.0,19590.0
,,10013.0,20103.0
,,10525.0,23214.0
,,11041.0,23729.0
,,11555.0,26744.0
,,12072.0,27130.0
,,12651.0,28350.0
,,13324.0,30467.0
,,13836.0,31109.0
,,14318.0,32392.0
,,14865.0,34861.0
,,15349.0,36366.0
,,16601.0,43141.0
,,17019.0,47184.0
,,18046.0,47568.0
,,18497.0,49394.0
,,19108.0,52024.0
,,20103.0,52315.0
,,20873.0,55010.0
,,21483.0,55427.0
,,22062.0,55683.0
,,22638.0,55907.0
,,24276.0,56035.0
,,24820.0,56355.0
,,25428.0,57381.0
,,25942.0,59726.0
,,27130.0,63320.0
,,28028.0,63705.0
,,29023.0,64156.0
,,29861.0,64380.0
,,30435.0,65022.0
,,31750.0,66048.0
,,33513.0,67682.0
,,34090.0,68194.0
,,34603.0,68644.0
,,35918.0,73102.0
,,36880.0,76764.0
,,37458.0,78078.0
,,37973.0,
,,38491.0,
,,39036.0,
,,40190.0,
,,40734.0,
,,41342.0,
,,41854.0,
,,42368.0,
,,42882.0,
,,43141.0,
,,44391.0,
,,44903.0,
,,45161.0,
,,45900.0,
,,46382.0,
,,47184.0,
,,48370.0,
,,50002.0,
,,50450.0,
,,51028.0,
,,51542.0,
,,51993.0,
,,52990.0,
,,53472.0,
,,54466.0,
,,57381.0,
,,57959.0,
,,58538.0,
,,59116.0,
,,59985.0,
,,61267.0,
,,61716.0,
,,62742.0,
,,63674.0,
,,64156.0,
,,66304.0,
,,68130.0,
,,70022.0,
,,70663.0,
,,71625.0,
,,72073.0,
,,72588.0,
,,73102.0,
,,73522.0,
,,74005.0,
,,74679.0,
,,75673.0,
,,76250.0,
,,76764.0,
,,77406.0,
,,78943.0,
,,79455.0,
,,79905.0,
,,80547.0,
,,80997.0,
,,81512.0,
,,82158.0,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.0,6.0,,
1.0,1.0,,
2.0,6.0,,
3.0,3.0,,
4.0,9.0,,
5.0,9.0,,
6.0,9.0,,
7.0,9.0,,
8.0,9.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,3.0,,
3.0,6.0,,
4.0,9.0,,
5.0,6.0,,
6.0,9.0,,
7.0,9.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,2.0,,
4.0,9.0,,
5.0,5.0,,
6.0,9.0,,
7.0,6.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,8.0,,
4.0,9.0,,
5.0,7.0,,
6.0,9.0,,
7.0,6.0,,
8.0,9.0,,
9.0,9.0,,
0.0,0.0,,
1.0,3.0,,
2.0,3.0,,
3.0,4.0,,
4.0,9.0,,
5.0,8.0,,
6.0,9.0,,
7.0,8.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,3.0,,
2.0,7.0,,
3.0,4.0,,
4.0,5.0,,
5.0,5.0,,
6.0,5.0,,
7.0,7.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,2.0,,
2.0,2.0,,
3.0,3.0,,
4.0,7.0,,
5.0,5.0,,
6.0,6.0,,
7.0,8.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,6.0,,
2.0,5.0,,
3.0,5.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,5.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,7.0,,
6.0,5.0,,
7.0,8.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,5.0,,
8.0,5.0,,
9.0,9.0,,
0.0,0.0,,
1.0,6.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,7.0,,
8.0,7.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,2.0,,
4.0,4.0,,
5.0,3.0,,
6.0,6.0,,
7.0,5.0,,
8.0,4.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,3.0,,
4.0,9.0,,
5.0,5.0,,
6.0,6.0,,
7.0,7.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,5.0,,
2.0,2.0,,
3.0,2.0,,
4.0,4.0,,
5.0,1.0,,
6.0,9.0,,
7.0,7.0,,
8.0,4.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,6.0,,
4.0,4.0,,
5.0,2.0,,
6.0,9.0,,
7.0,7.0,,
8.0,3.0,,
9.0,9.0,,
0.0,0.0,,
1.0,6.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,1.0,,
6.0,6.0,,
7.0,7.0,,
8.0,2.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,2.0,,
4.0,4.0,,
5.0,1.0,,
6.0,6.0,,
7.0,7.0,,
8.0,7.0,,
9.0,9.0,,
0.0,0.0,,
1.0,6.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,8.0,,
8.0,8.0,,
9.0,9.0,,
0.0,0.0,,
1.0,6.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,5.0,,
8.0,3.0,,
9.0,9.0,,
0.0,0.0,,
1.0,4.0,,
2.0,2.0,,
3.0,3.0,,
4.0,4.0,,
5.0,5.0,,
6.0,6.0,,
7.0,8.0,,
8.0,7.0,,
9.0,9.0,,
0.0,0.0,,
1.0,1.0,,
2.0,2.0,,
3.0,3.0,,
4.0,5.0,,
5.0,5.0,,
6.0,6.0,,
7.0,8.0,,
