y_real,y_pred,data_drift,concept_drift
4,,,
4,4.0,,
1,4.0,,
4,4.0,,
1,4.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,1.0,,
5,5.0,,
1,4.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,4.0,,
1,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,1.0,,
5,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,5.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
5,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
5,5.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
4,1.0,,
4,4.0,,
5,5.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,1.0,,
4,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
4,4.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,1.0,,
1,1.0,,
4,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,4.0,,
4,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,4.0,,
5,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
5,4.0,,
1,4.0,,
1,1.0,,
1,1.0,,
5,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,5.0,,
1,1.0,,
1,1.0,,
5,5.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
4,4.0,,
1,1.0,,
5,5.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
4,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,4.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
4,4.0,,
4,4.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
4,4.0,,
1,4.0,,
1,1.0,,
1,1.0,,
1,1.0,,
5,5.0,,
1,5.0,,
1,1.0,,
1,1.0,,
4,4.0,,
1,1.0,,
1,1.0,,
